,Country,Target Year,Population lag 5 years,Population lag 4 years,Population lag 3 years,Population lag 2 years,Population lag 1 year,Population Current,Life Ex lag 5 years,Life Ex lag 4 years,Life Ex lag 3 years,Life Ex lag 2 years,Life Ex lag 1 year,Life Ex Current,GDP lag 5 years,GDP lag 4 years,GDP lag 3 years,GDP lag 2 years,GDP lag 1 year,GDP Current,GDP_cap lag 5 years,GDP_cap lag 4 years,GDP_cap lag 3 years,GDP_cap lag 2 years,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 5 years,CO2 lag 4 years,CO2 lag 3 years,CO2 lag 2 years,CO2 lag 1 year,CO2 Current,Happy lag 5 years,Happy lag 4 years,Happy lag 3 years,Happy lag 2 years,Happy lag 1 year
70,Canada,2014,33746093.0,34147566.0,34539156.0,34922031.0,35296535.0,35664338.0,80.0,81.0,85.0,85.0,87.0,81.0,1374630000000.0,1617340000000.0,1793330000000.0,1828370000000.0,1846600000000.0,1805750000000.0,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,27334872496.0,27893676503.0,28463546701.0,29032809432.0,29606508169.0,30177071586.0,7.42605352401733,7.41514444351196,7.59379386901855,7.30425786972046,7.41277265548706
71,Canada,2015,34147566.0,34539156.0,34922031.0,35296535.0,35664338.0,36026668.0,81.0,85.0,85.0,87.0,81.0,81.2,1617340000000.0,1793330000000.0,1828370000000.0,1846600000000.0,1805750000000.0,1556510000000.0,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,27893676503.0,28463546701.0,29032809432.0,29606508169.0,30177071586.0,30750132962.0,7.41514444351196,7.59379386901855,7.30425786972046,7.41277265548706,7.24484586715698
77,Chile,2010,16182713.0,16354507.0,16530201.0,16708255.0,16886184.0,17062531.0,77.3,77.3,77.8,77.9,78.0,78.4,122315000000.0,153840000000.0,172566000000.0,179663000000.0,171413000000.0,217105000000.0,7558.371754,9406.584485,10439.42846,10752.9723,10151.05852,12724.10406,1741318811.0,1805268135.0,1875951383.0,1946746543.0,2012647046.0,2083958001.0,5.69792985916138,5.78943872451782,6.49368619918823,6.63565587997437,6.52633476257324
78,Chile,2011,16354507.0,16530201.0,16708255.0,16886184.0,17062531.0,17233584.0,77.3,77.8,77.9,78.0,78.4,78.9,153840000000.0,172566000000.0,179663000000.0,171413000000.0,217105000000.0,251225000000.0,9406.584485,10439.42846,10752.9723,10151.05852,12724.10406,14577.63266,1805268135.0,1875951383.0,1946746543.0,2012647046.0,2083958001.0,2162022405.0,5.78943872451782,6.49368619918823,6.63565587997437,6.52633476257324,6.59912872314453
79,Chile,2012,16530201.0,16708255.0,16886184.0,17062531.0,17233584.0,17400359.0,77.8,77.9,78.0,78.4,78.9,78.9,172566000000.0,179663000000.0,171413000000.0,217105000000.0,251225000000.0,267176000000.0,10439.42846,10752.9723,10151.05852,12724.10406,14577.63266,15354.6184,1875951383.0,1946746543.0,2012647046.0,2083958001.0,2162022405.0,2241705986.0,6.49368619918823,6.63565587997437,6.52633476257324,6.59912872314453,6.74015378952026
80,Chile,2013,16708255.0,16886184.0,17062531.0,17233584.0,17400359.0,17571511.0,77.9,78.0,78.4,78.9,78.9,79.6,179663000000.0,171413000000.0,217105000000.0,251225000000.0,267176000000.0,277239000000.0,10752.9723,10151.05852,12724.10406,14577.63266,15354.6184,15777.78151,1946746543.0,2012647046.0,2083958001.0,2162022405.0,2241705986.0,2323516854.0,6.63565587997437,6.52633476257324,6.59912872314453,6.74015378952026,6.84423828125
81,Chile,2014,16886184.0,17062531.0,17233584.0,17400359.0,17571511.0,17758969.0,78.0,78.4,78.9,78.9,79.6,79.3,171413000000.0,217105000000.0,251225000000.0,267176000000.0,277239000000.0,259405000000.0,10151.05852,12724.10406,14577.63266,15354.6184,15777.78151,14606.99672,2012647046.0,2083958001.0,2162022405.0,2241705986.0,2323516854.0,2401090633.0,6.52633476257324,6.59912872314453,6.74015378952026,6.84423828125,6.53274965286255
82,Chile,2015,17062531.0,17233584.0,17400359.0,17571511.0,17758969.0,17969356.0,78.4,78.9,78.9,79.6,79.3,79.1,217105000000.0,251225000000.0,267176000000.0,277239000000.0,259405000000.0,242497000000.0,12724.10406,14577.63266,15354.6184,15777.78151,14606.99672,13495.01061,2083958001.0,2162022405.0,2241705986.0,2323516854.0,2401090633.0,2482915104.0,6.59912872314453,6.74015378952026,6.84423828125,6.53274965286255,6.57905626296997
88,China,2010,1330776380.0,1338408644.0,1345993891.0,1353569480.0,1361169410.0,1368810604.0,71.7,72.2,72.7,73.1,73.5,73.9,2285970000000.0,2752130000000.0,3550340000000.0,4594310000000.0,5101700000000.0,6087160000000.0,1753.417829,2099.229435,2693.970063,3468.304602,3832.236432,4550.453108,97916885868.0,104000000000.0,111000000000.0,119000000000.0,127000000000.0,135000000000.0,4.86286211013794,4.84629487991333,4.45436096191406,4.65273666381836,5.03720760345459
89,China,2011,1338408644.0,1345993891.0,1353569480.0,1361169410.0,1368810604.0,1376497633.0,72.2,72.7,73.1,73.5,73.9,74.2,2752130000000.0,3550340000000.0,4594310000000.0,5101700000000.0,6087160000000.0,7551500000000.0,2099.229435,2693.970063,3468.304602,3832.236432,4550.453108,5614.352135,104000000000.0,111000000000.0,119000000000.0,127000000000.0,135000000000.0,145000000000.0,4.84629487991333,4.45436096191406,4.65273666381836,5.03720760345459,5.09491729736328
90,China,2012,1345993891.0,1353569480.0,1361169410.0,1368810604.0,1376497633.0,1384206408.0,72.7,73.1,73.5,73.9,74.2,74.4,3550340000000.0,4594310000000.0,5101700000000.0,6087160000000.0,7551500000000.0,8532230000000.0,2693.970063,3468.304602,3832.236432,4550.453108,5614.352135,6300.615118,111000000000.0,119000000000.0,127000000000.0,135000000000.0,145000000000.0,155000000000.0,4.45436096191406,4.65273666381836,5.03720760345459,5.09491729736328,5.24109029769897
91,China,2013,1353569480.0,1361169410.0,1368810604.0,1376497633.0,1384206408.0,1391883335.0,73.1,73.5,73.9,74.2,74.4,74.5,4594310000000.0,5101700000000.0,6087160000000.0,7551500000000.0,8532230000000.0,9570410000000.0,3468.304602,3832.236432,4550.453108,5614.352135,6300.615118,7020.338485,119000000000.0,127000000000.0,135000000000.0,145000000000.0,155000000000.0,165000000000.0,4.65273666381836,5.03720760345459,5.09491729736328,5.24109029769897,5.19561910629272
92,China,2014,1361169410.0,1368810604.0,1376497633.0,1384206408.0,1391883335.0,1399453966.0,73.5,73.9,74.2,74.4,74.5,74.9,5101700000000.0,6087160000000.0,7551500000000.0,8532230000000.0,9570410000000.0,10475700000000.0,3832.236432,4550.453108,5614.352135,6300.615118,7020.338485,7636.116601,127000000000.0,135000000000.0,145000000000.0,155000000000.0,165000000000.0,175000000000.0,5.03720760345459,5.09491729736328,5.24109029769897,5.19561910629272,5.30387783050537
93,China,2015,1368810604.0,1376497633.0,1384206408.0,1391883335.0,1399453966.0,1406847868.0,73.9,74.2,74.4,74.5,74.9,75.0,6087160000000.0,7551500000000.0,8532230000000.0,9570410000000.0,10475700000000.0,11061600000000.0,4550.453108,5614.352135,6300.615118,7020.338485,7636.116601,8016.431435,135000000000.0,145000000000.0,155000000000.0,165000000000.0,175000000000.0,184000000000.0,5.09491729736328,5.24109029769897,5.19561910629272,5.30387783050537,5.32495594024658
99,Colombia,2010,42647731.0,43200901.0,43737512.0,44254972.0,44750054.0,45222699.0,71.4,71.5,71.8,72.4,72.8,73.1,145619000000.0,161619000000.0,206182000000.0,242187000000.0,232398000000.0,286563000000.0,3414.465158,3741.092837,4714.073055,5472.53653,5193.241458,6336.709474,2193592255.0,2255596791.0,2315775631.0,2382425687.0,2454982407.0,2531260831.0,6.13841152191162,6.16839504241943,6.27160453796387,6.40811347961426,6.46395254135132
100,Colombia,2011,43200901.0,43737512.0,44254972.0,44750054.0,45222699.0,45662747.0,71.5,71.8,72.4,72.8,73.1,73.1,161619000000.0,206182000000.0,242187000000.0,232398000000.0,286563000000.0,334944000000.0,3741.092837,4714.073055,5472.53653,5193.241458,6336.709474,7335.166934,2255596791.0,2315775631.0,2382425687.0,2454982407.0,2531260831.0,2607340606.0,6.16839504241943,6.27160453796387,6.40811347961426,6.46395254135132,6.37487983703613
