,Country,Target Year,Population lag 4 years,Population lag 3 years,Population lag 2 years,Population lag 1 year,Population Current,Life Ex lag 4 years,Life Ex lag 3 years,Life Ex lag 2 years,Life Ex lag 1 year,Life Ex Current,GDP lag 4 years,GDP lag 3 years,GDP lag 2 years,GDP lag 1 year,GDP Current,GDP_cap lag 4 years,GDP_cap lag 3 years,GDP_cap lag 2 years,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 4 years,CO2 lag 3 years,CO2 lag 2 years,CO2 lag 1 year,CO2 Current,Happy lag 4 years,Happy lag 3 years,Happy lag 2 years,Happy lag 1 year
75,Canada,2012,33337638.0,33746093.0,34147566.0,34539156.0,34922031.0,79.7,80.0,81.0,85.0,85.0,1552990000000.0,1374630000000.0,1617340000000.0,1793330000000.0,1828370000000.0,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,26788262055.0,27334872496.0,27893676503.0,28463546701.0,29032809432.0,7.65034627914429,7.42605352401733,7.41514444351196,7.59379386901855
76,Canada,2013,33746093.0,34147566.0,34539156.0,34922031.0,35296535.0,80.0,81.0,85.0,85.0,87.0,1374630000000.0,1617340000000.0,1793330000000.0,1828370000000.0,1846600000000.0,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,27334872496.0,27893676503.0,28463546701.0,29032809432.0,29606508169.0,7.42605352401733,7.41514444351196,7.59379386901855,7.30425786972046
77,Canada,2014,34147566.0,34539156.0,34922031.0,35296535.0,35664338.0,81.0,85.0,85.0,87.0,81.0,1617340000000.0,1793330000000.0,1828370000000.0,1846600000000.0,1805750000000.0,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,27893676503.0,28463546701.0,29032809432.0,29606508169.0,30177071586.0,7.41514444351196,7.59379386901855,7.30425786972046,7.41277265548706
78,Canada,2015,34539156.0,34922031.0,35296535.0,35664338.0,36026668.0,85.0,85.0,87.0,81.0,81.2,1793330000000.0,1828370000000.0,1846600000000.0,1805750000000.0,1556510000000.0,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,28463546701.0,29032809432.0,29606508169.0,30177071586.0,30750132962.0,7.59379386901855,7.30425786972046,7.41277265548706,7.24484586715698
84,Chile,2009,16182713.0,16354507.0,16530201.0,16708255.0,16886184.0,77.3,77.3,77.8,77.9,78.0,122315000000.0,153840000000.0,172566000000.0,179663000000.0,171413000000.0,7558.371754,9406.584485,10439.42846,10752.9723,10151.05852,1741318811.0,1805268135.0,1875951383.0,1946746543.0,2012647046.0,5.69792985916138,5.78943872451782,6.49368619918823,6.63565587997437
85,Chile,2010,16354507.0,16530201.0,16708255.0,16886184.0,17062531.0,77.3,77.8,77.9,78.0,78.4,153840000000.0,172566000000.0,179663000000.0,171413000000.0,217105000000.0,9406.584485,10439.42846,10752.9723,10151.05852,12724.10406,1805268135.0,1875951383.0,1946746543.0,2012647046.0,2083958001.0,5.78943872451782,6.49368619918823,6.63565587997437,6.52633476257324
86,Chile,2011,16530201.0,16708255.0,16886184.0,17062531.0,17233584.0,77.8,77.9,78.0,78.4,78.9,172566000000.0,179663000000.0,171413000000.0,217105000000.0,251225000000.0,10439.42846,10752.9723,10151.05852,12724.10406,14577.63266,1875951383.0,1946746543.0,2012647046.0,2083958001.0,2162022405.0,6.49368619918823,6.63565587997437,6.52633476257324,6.59912872314453
87,Chile,2012,16708255.0,16886184.0,17062531.0,17233584.0,17400359.0,77.9,78.0,78.4,78.9,78.9,179663000000.0,171413000000.0,217105000000.0,251225000000.0,267176000000.0,10752.9723,10151.05852,12724.10406,14577.63266,15354.6184,1946746543.0,2012647046.0,2083958001.0,2162022405.0,2241705986.0,6.63565587997437,6.52633476257324,6.59912872314453,6.74015378952026
88,Chile,2013,16886184.0,17062531.0,17233584.0,17400359.0,17571511.0,78.0,78.4,78.9,78.9,79.6,171413000000.0,217105000000.0,251225000000.0,267176000000.0,277239000000.0,10151.05852,12724.10406,14577.63266,15354.6184,15777.78151,2012647046.0,2083958001.0,2162022405.0,2241705986.0,2323516854.0,6.52633476257324,6.59912872314453,6.74015378952026,6.84423828125
89,Chile,2014,17062531.0,17233584.0,17400359.0,17571511.0,17758969.0,78.4,78.9,78.9,79.6,79.3,217105000000.0,251225000000.0,267176000000.0,277239000000.0,259405000000.0,12724.10406,14577.63266,15354.6184,15777.78151,14606.99672,2083958001.0,2162022405.0,2241705986.0,2323516854.0,2401090633.0,6.59912872314453,6.74015378952026,6.84423828125,6.53274965286255
90,Chile,2015,17233584.0,17400359.0,17571511.0,17758969.0,17969356.0,78.9,78.9,79.6,79.3,79.1,251225000000.0,267176000000.0,277239000000.0,259405000000.0,242497000000.0,14577.63266,15354.6184,15777.78151,14606.99672,13495.01061,2162022405.0,2241705986.0,2323516854.0,2401090633.0,2482915104.0,6.74015378952026,6.84423828125,6.53274965286255,6.57905626296997
