,Country,Target Year,Population lag 4 years,Population lag 3 years,Population lag 2 years,Population lag 1 year,Population Current,Life Ex lag 4 years,Life Ex lag 3 years,Life Ex lag 2 years,Life Ex lag 1 year,Life Ex Current,GDP lag 4 years,GDP lag 3 years,GDP lag 2 years,GDP lag 1 year,GDP Current,GDP_cap lag 4 years,GDP_cap lag 3 years,GDP_cap lag 2 years,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 4 years,CO2 lag 3 years,CO2 lag 2 years,CO2 lag 1 year,CO2 Current,Happy lag 4 years,Happy lag 3 years,Happy lag 2 years,Happy lag 1 year
232,Israel,2013,7190037.0,7346446.0,7487095.0,7614946.0,7734834.0,81.0,80.0,84.0,84.0,81.0,207953000000.0,234655000000.0,262294000000.0,258417000000.0,294167000000.0,27780.46372,30780.02382,33775.512,32667.60687,36499.45611,1682185043.0,1750471944.0,1819066681.0,1893851260.0,1956982946.0,7.43314790725708,7.1108546257019,7.32056331634521,7.40057039260864
233,Israel,2014,7346446.0,7487095.0,7614946.0,7734834.0,7854216.0,80.0,84.0,84.0,81.0,81.5,234655000000.0,262294000000.0,258417000000.0,294167000000.0,310945000000.0,30780.02382,33775.512,32667.60687,36499.45611,37847.64994,1750471944.0,1819066681.0,1893851260.0,1956982946.0,2017334780.0,7.1108546257019,7.32056331634521,7.40057039260864,7.07941102981567
234,Israel,2015,7487095.0,7614946.0,7734834.0,7854216.0,7978496.0,84.0,84.0,81.0,81.5,81.7,262294000000.0,258417000000.0,294167000000.0,310945000000.0,300078000000.0,33775.512,32667.60687,36499.45611,37847.64994,35808.43643,1819066681.0,1893851260.0,1956982946.0,2017334780.0,2080309704.0,7.32056331634521,7.40057039260864,7.07941102981567,7.159010887146
240,Italy,2009,58281209.0,58542619.0,58747862.0,58922116.0,59105622.0,79.4,79.8,80.0,79.9,89.0,1858220000000.0,1949550000000.0,2213100000000.0,2408660000000.0,2199930000000.0,32055.09208,33529.7266,37870.74751,40944.91242,37226.75719,18799805034.0,19296696911.0,19787299468.0,20266202270.0,20690941204.0,6.57441234588623,6.77977418899536,6.33380031585693,6.35423803329468
241,Italy,2010,58542619.0,58747862.0,58922116.0,59105622.0,59325232.0,79.8,80.0,79.9,89.0,88.0,1949550000000.0,2213100000000.0,2408660000000.0,2199930000000.0,2136100000000.0,33529.7266,37870.74751,40944.91242,37226.75719,36035.645,19296696911.0,19787299468.0,20266202270.0,20690941204.0,21127094887.0,6.77977418899536,6.33380031585693,6.35423803329468,6.05708646774292
242,Italy,2011,58747862.0,58922116.0,59105622.0,59325232.0,59589070.0,80.0,79.9,89.0,88.0,81.2,2213100000000.0,2408660000000.0,2199930000000.0,2136100000000.0,2294990000000.0,37870.74751,40944.91242,37226.75719,36035.645,38649.63948,19787299468.0,20266202270.0,20690941204.0,21127094887.0,21551372414.0,6.33380031585693,6.35423803329468,6.05708646774292,5.83931398391724
243,Italy,2012,58922116.0,59105622.0,59325232.0,59589070.0,59879469.0,79.9,89.0,88.0,81.2,81.3,2408660000000.0,2199930000000.0,2136100000000.0,2294990000000.0,2086960000000.0,40944.91242,37226.75719,36035.645,38649.63948,35051.52127,20266202270.0,20690941204.0,21127094887.0,21551372414.0,21954819628.0,6.35423803329468,6.05708646774292,5.83931398391724,6.00937366485596
244,Italy,2013,59105622.0,59325232.0,59589070.0,59879469.0,60166828.0,89.0,88.0,81.2,81.3,81.5,2199930000000.0,2136100000000.0,2294990000000.0,2086960000000.0,2141920000000.0,37226.75719,36035.645,38649.63948,35051.52127,35560.08141,20690941204.0,21127094887.0,21551372414.0,21954819628.0,22324653965.0,6.05708646774292,5.83931398391724,6.00937366485596,6.0265851020813
245,Italy,2014,59325232.0,59589070.0,59879469.0,60166828.0,60409622.0,88.0,81.2,81.3,81.5,81.6,2136100000000.0,2294990000000.0,2086960000000.0,2141920000000.0,2162010000000.0,36035.645,38649.63948,35051.52127,35560.08141,35565.72138,21127094887.0,21551372414.0,21954819628.0,22324653965.0,22674235720.0,5.83931398391724,6.00937366485596,6.0265851020813,5.84768390655518
246,Italy,2015,59589070.0,59879469.0,60166828.0,60409622.0,60578489.0,81.2,81.3,81.5,81.6,81.8,2294990000000.0,2086960000000.0,2141920000000.0,2162010000000.0,1836640000000.0,38649.63948,35051.52127,35560.08141,35565.72138,30242.38614,21551372414.0,21954819628.0,22324653965.0,22674235720.0,23035538202.0,6.00937366485596,6.0265851020813,5.84768390655518,5.95452404022217
252,Japan,2009,128326115.0,128422740.0,128494050.0,128538644.0,128555196.0,81.1,81.5,81.8,81.9,82.1,4831470000000.0,4601660000000.0,4579750000000.0,5106680000000.0,5289490000000.0,37812.89502,35991.546,35779.02454,39876.30397,41308.99684,47398980851.0,48666342725.0,49969476902.0,51201790632.0,52365003563.0,6.23819780349731,5.91067934036255,5.84499931335449,6.05675268173218
253,Japan,2010,128422740.0,128494050.0,128538644.0,128555196.0,128542349.0,81.5,81.8,81.9,82.1,82.0,4601660000000.0,4579750000000.0,5106680000000.0,5289490000000.0,5759070000000.0,35991.546,35779.02454,39876.30397,41308.99684,44968.15623,48666342725.0,49969476902.0,51201790632.0,52365003563.0,53579819796.0,5.91067934036255,5.84499931335449,6.05675268173218,6.26279354095459
254,Japan,2011,128494050.0,128538644.0,128555196.0,128542349.0,128498966.0,81.8,81.9,82.1,82.0,82.4,4579750000000.0,5106680000000.0,5289490000000.0,5759070000000.0,6233150000000.0,35779.02454,39876.30397,41308.99684,44968.15623,48760.07895,49969476902.0,51201790632.0,52365003563.0,53579819796.0,54844685895.0,5.84499931335449,6.05675268173218,6.26279354095459,5.96821641921997
255,Japan,2012,128538644.0,128555196.0,128542349.0,128498966.0,128423571.0,81.9,82.1,82.0,82.4,82.6,5106680000000.0,5289490000000.0,5759070000000.0,6233150000000.0,6272360000000.0,39876.30397,41308.99684,44968.15623,48760.07895,49145.28043,51201790632.0,52365003563.0,53579819796.0,54844685895.0,56150695737.0,6.05675268173218,6.26279354095459,5.96821641921997,5.95936155319214
256,Japan,2013,128555196.0,128542349.0,128498966.0,128423571.0,128314189.0,82.1,82.0,82.4,82.6,82.7,5289490000000.0,5759070000000.0,6233150000000.0,6272360000000.0,5212330000000.0,41308.99684,44968.15623,48760.07895,49145.28043,40898.6479,52365003563.0,53579819796.0,54844685895.0,56150695737.0,57466038395.0,6.26279354095459,5.96821641921997,5.95936155319214,5.92262077331543
257,Japan,2014,128542349.0,128498966.0,128423571.0,128314189.0,128168630.0,82.0,82.4,82.6,82.7,83.0,5759070000000.0,6233150000000.0,6272360000000.0,5212330000000.0,4896990000000.0,44968.15623,48760.07895,49145.28043,40898.6479,38475.39525,53579819796.0,54844685895.0,56150695737.0,57466038395.0,58729767154.0,5.96821641921997,5.95936155319214,5.92262077331543,5.87968444824219
258,Japan,2015,128498966.0,128423571.0,128314189.0,128168630.0,127985139.0,82.4,82.6,82.7,83.0,83.0,6233150000000.0,6272360000000.0,5212330000000.0,4896990000000.0,4444930000000.0,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,54844685895.0,56150695737.0,57466038395.0,58729767154.0,59953163599.0,5.95936155319214,5.92262077331543,5.87968444824219,5.95465087890625
264,Jordan,2009,5765639.0,5991547.0,6255290.0,6556473.0,6893258.0,71.7,71.9,72.1,72.3,72.5,12588665303.0,15056929760.0,17110587447.0,22657662393.0,24537876056.0,2183.394643,2513.028732,2735.378767,3455.769953,3559.692102,349948505.0,370474895.0,391911393.0,412629390.0,433966082.0,5.59805727005005,4.93005800247192,5.99985933303833,5.56994247436523
265,Jordan,2010,5991547.0,6255290.0,6556473.0,6893258.0,7261541.0,71.9,72.1,72.3,72.5,72.4,15056929760.0,17110587447.0,22657662393.0,24537876056.0,27133804225.0,2513.028732,2735.378767,3455.769953,3559.692102,3736.645462,370474895.0,391911393.0,412629390.0,433966082.0,454581407.0,4.93005800247192,5.99985933303833,5.56994247436523,5.53932762145996
266,Jordan,2011,6255290.0,6556473.0,6893258.0,7261541.0,7662858.0,72.1,72.3,72.5,72.4,72.8,17110587447.0,22657662393.0,24537876056.0,27133804225.0,29524149155.0,2735.378767,3455.769953,3559.692102,3736.645462,3852.890025,391911393.0,412629390.0,433966082.0,454581407.0,475825167.0,5.99985933303833,5.56994247436523,5.53932762145996,5.13199615478516
267,Jordan,2012,6556473.0,6893258.0,7261541.0,7662858.0,8089963.0,72.3,72.5,72.4,72.8,73.0,22657662393.0,24537876056.0,27133804225.0,29524149155.0,31634561690.0,3455.769953,3559.692102,3736.645462,3852.890025,3910.346894,412629390.0,433966082.0,454581407.0,475825167.0,499638968.0,5.56994247436523,5.53932762145996,5.13199615478516,5.17195272445679
268,Jordan,2013,6893258.0,7261541.0,7662858.0,8089963.0,8518992.0,72.5,72.4,72.8,73.0,73.1,24537876056.0,27133804225.0,29524149155.0,31634561690.0,34454440141.0,3559.692102,3736.645462,3852.890025,3910.346894,4044.426869,433966082.0,454581407.0,475825167.0,499638968.0,523452120.0,5.53932762145996,5.13199615478516,5.17195272445679,5.33302164077759
269,Jordan,2014,7261541.0,7662858.0,8089963.0,8518992.0,8918822.0,72.4,72.8,73.0,73.1,73.3,27133804225.0,29524149155.0,31634561690.0,34454440141.0,36847643521.0,3736.645462,3852.890025,3910.346894,4044.426869,4131.44735,454581407.0,475825167.0,499638968.0,523452120.0,549347142.0,5.13199615478516,5.17195272445679,5.33302164077759,5.4045934677124
270,Jordan,2015,7662858.0,8089963.0,8518992.0,8918822.0,9266573.0,72.8,73.0,73.1,73.3,73.4,29524149155.0,31634561690.0,34454440141.0,36847643521.0,38587017887.0,3852.890025,3910.346894,4044.426869,4131.44735,4164.108769,475825167.0,499638968.0,523452120.0,549347142.0,574903362.0,5.17195272445679,5.33302164077759,5.4045934677124,5.27128458023071
276,Kazakhstan,2009,15402803.0,15551263.0,15702112.0,15862126.0,16043015.0,63.9,64.4,64.7,64.4,64.7,57123671734.0,81003884545.0,104850000000.0,133442000000.0,115309000000.0,3771.278957,5291.575305,6771.414797,8458.017154,7165.223175,9950794985.0,10171925065.0,10399474649.0,10628144743.0,10851254805.0,5.71855354309082,5.88641977310181,5.38256311416626,5.51428651809692
277,Kazakhstan,2010,15551263.0,15702112.0,15862126.0,16043015.0,16252273.0,64.4,64.7,64.4,64.7,64.6,81003884545.0,104850000000.0,133442000000.0,115309000000.0,148047000000.0,5291.575305,6771.414797,8458.017154,7165.223175,9070.488253,10171925065.0,10399474649.0,10628144743.0,10851254805.0,11100321718.0,5.88641977310181,5.38256311416626,5.51428651809692,5.73566293716431
278,Kazakhstan,2011,15702112.0,15862126.0,16043015.0,16252273.0,16490669.0,64.7,64.4,64.7,64.6,65.0,104850000000.0,133442000000.0,115309000000.0,148047000000.0,192627000000.0,6771.414797,8458.017154,7165.223175,9070.488253,11634.0012,10399474649.0,10628144743.0,10851254805.0,11100321718.0,11339981809.0,5.38256311416626,5.51428651809692,5.73566293716431,5.75946950912476
279,Kazakhstan,2012,15862126.0,16043015.0,16252273.0,16490669.0,16751523.0,64.4,64.7,64.6,65.0,65.3,133442000000.0,115309000000.0,148047000000.0,192627000000.0,207999000000.0,8458.017154,7165.223175,9070.488253,11634.0012,12386.69927,10628144743.0,10851254805.0,11100321718.0,11339981809.0,11585818298.0,5.51428651809692,5.73566293716431,5.75946950912476,5.83548307418823
280,Kazakhstan,2013,16043015.0,16252273.0,16490669.0,16751523.0,17026118.0,64.7,64.6,65.0,65.3,66.6,115309000000.0,148047000000.0,192627000000.0,207999000000.0,236635000000.0,7165.223175,9070.488253,11634.0012,12386.69927,13890.63096,10851254805.0,11100321718.0,11339981809.0,11585818298.0,11839547143.0,5.73566293716431,5.75946950912476,5.83548307418823,5.97009754180908
281,Kazakhstan,2014,16252273.0,16490669.0,16751523.0,17026118.0,17302619.0,64.6,65.0,65.3,66.6,67.8,148047000000.0,192627000000.0,207999000000.0,236635000000.0,221416000000.0,9070.488253,11634.0012,12386.69927,13890.63096,12807.26069,11100321718.0,11339981809.0,11585818298.0,11839547143.0,12118579241.0,5.75946950912476,5.83548307418823,5.97009754180908,5.94999504089355
282,Kazakhstan,2015,16490669.0,16751523.0,17026118.0,17302619.0,17572010.0,65.0,65.3,66.6,67.8,67.8,192627000000.0,207999000000.0,236635000000.0,221416000000.0,184388000000.0,11634.0012,12386.69927,13890.63096,12807.26069,10510.77189,11339981809.0,11585818298.0,11839547143.0,12118579241.0,12407161642.0,5.83548307418823,5.97009754180908,5.94999504089355,5.53355169296265
288,Kenya,2009,36624897.0,37649039.0,38705934.0,39791984.0,40901798.0,51.9,51.9,52.1,52.4,53.0,18737897745.0,25825524821.0,31958195182.0,35895153328.0,42347217913.0,511.6163943,685.9544229,825.666555,902.0699578,1035.338787,260780526.0,270116187.0,279656854.0,289567899.0,301534351.0,4.57565784454346,4.01527452468872,4.27043485641479,4.255859375
289,Kenya,2010,37649039.0,38705934.0,39791984.0,40901798.0,42030684.0,51.9,52.1,52.4,53.0,54.1,25825524821.0,31958195182.0,35895153328.0,42347217913.0,45405587557.0,685.9544229,825.666555,902.0699578,1035.338787,1080.296184,270116187.0,279656854.0,289567899.0,301534351.0,313279143.0,4.01527452468872,4.27043485641479,4.255859375,4.40531015396118
290,Kenya,2011,38705934.0,39791984.0,40901798.0,42030684.0,43178270.0,52.1,52.4,53.0,54.1,55.3,31958195182.0,35895153328.0,42347217913.0,45405587557.0,46869457318.0,825.666555,902.0699578,1035.338787,1080.296184,1085.487152,279656854.0,289567899.0,301534351.0,313279143.0,326207316.0,4.27043485641479,4.255859375,4.40531015396118,4.54733514785767
291,Kenya,2012,39791984.0,40901798.0,42030684.0,43178270.0,44343469.0,52.4,53.0,54.1,55.3,56.8,35895153328.0,42347217913.0,45405587557.0,46869457318.0,56396706006.0,902.0699578,1035.338787,1080.296184,1085.487152,1271.815383,289567899.0,301534351.0,313279143.0,326207316.0,338195324.0,4.255859375,4.40531015396118,4.54733514785767,3.79538321495056
292,Kenya,2013,40901798.0,42030684.0,43178270.0,44343469.0,45519986.0,53.0,54.1,55.3,56.8,57.9,42347217913.0,45405587557.0,46869457318.0,56396706006.0,61671425370.0,1035.338787,1080.296184,1085.487152,1271.815383,1354.820833,301534351.0,313279143.0,326207316.0,338195324.0,350965385.0,4.40531015396118,4.54733514785767,3.79538321495056,4.90457963943481
293,Kenya,2014,42030684.0,43178270.0,44343469.0,45519986.0,46700063.0,54.1,55.3,56.8,57.9,59.1,45405587557.0,46869457318.0,56396706006.0,61671425370.0,68285768554.0,1080.296184,1085.487152,1271.815383,1354.820833,1462.220052,313279143.0,326207316.0,338195324.0,350965385.0,364738351.0,4.54733514785767,3.79538321495056,4.90457963943481,4.35761785507202
294,Kenya,2015,43178270.0,44343469.0,45519986.0,46700063.0,47878339.0,55.3,56.8,57.9,59.1,63.0,46869457318.0,56396706006.0,61671425370.0,68285768554.0,70120413329.0,1085.487152,1271.815383,1354.820833,1462.220052,1464.554009,326207316.0,338195324.0,350965385.0,364738351.0,381039585.0,3.79538321495056,4.90457963943481,4.35761785507202,4.39612770080566
300,Kosovo,2009,1705780.0,1719536.0,1733404.0,1747383.0,1761474.0,68.4,68.7,69.2,70.1,70.8,5001776769.0,5125894693.0,5154014318.0,5181776769.0,5015894693.0,2545.449915,2747.555339,2939.559334,2965.449915,2847.555339,5925.164,62655.51,82723.37,93011.34,79751.05,5.10390615463257,5.52165985107422,5.891432762146,5.17660140991211
301,Kosovo,2010,1719536.0,1733404.0,1747383.0,1761474.0,1775680.0,68.7,69.2,70.1,70.8,72.0,5125894693.0,5154014318.0,5181776769.0,5015894693.0,5344014318.0,2747.555339,2939.559334,2965.449915,2847.555339,3009.559334,62655.51,82723.37,93011.34,79751.05,81228.35,5.52165985107422,5.891432762146,5.17660140991211,4.85950183868408
302,Kosovo,2011,1733404.0,1747383.0,1761474.0,1775680.0,1790957.0,69.2,70.1,70.8,72.0,72.3,5154014318.0,5181776769.0,5015894693.0,5344014318.0,6341737194.0,2939.559334,2965.449915,2847.555339,3009.559334,3540.891789,82723.37,93011.34,79751.05,81228.35,67466.42,5.891432762146,5.17660140991211,4.85950183868408,5.63958835601807
303,Kosovo,2012,1747383.0,1761474.0,1775680.0,1790957.0,1807106.0,70.1,70.8,72.0,72.3,72.7,5181776769.0,5015894693.0,5344014318.0,6341737194.0,6163785173.0,2965.449915,2847.555339,3009.559334,3540.891789,3410.85978,93011.34,79751.05,81228.35,67466.42,100869.5,5.17660140991211,4.85950183868408,5.63958835601807,6.12575817108154
304,Kosovo,2013,1761474.0,1775680.0,1790957.0,1807106.0,1815606.0,70.8,72.0,72.3,72.7,73.0,5015894693.0,5344014318.0,6341737194.0,6163785173.0,6735731173.0,2847.555339,3009.559334,3540.891789,3410.85978,3704.784221,79751.05,81228.35,67466.42,100869.5,142814.3,4.85950183868408,5.63958835601807,6.12575817108154,5.00037527084351
305,Kosovo,2014,1775680.0,1790957.0,1807106.0,1815606.0,1820631.0,72.0,72.3,72.7,73.0,73.3,5344014318.0,6341737194.0,6163785173.0,6735731173.0,7074657898.0,3009.559334,3540.891789,3410.85978,3704.784221,3902.676013,81228.35,67466.42,100869.5,142814.3,199838.5,5.63958835601807,6.12575817108154,5.00037527084351,5.07746076583862
306,Kosovo,2015,1790957.0,1807106.0,1815606.0,1820631.0,1804944.0,72.3,72.7,73.0,73.3,73.6,6341737194.0,6163785173.0,6735731173.0,7074657898.0,6295820482.0,3540.891789,3410.85978,3704.784221,3902.676013,3520.766449,67466.42,100869.5,142814.3,199838.5,221943.4,6.12575817108154,5.00037527084351,5.07746076583862,5.75941228866577
312,Kyrgyzstan,2009,5075340.0,5124379.0,5184384.0,5254969.0,5334708.0,66.6,67.2,66.7,66.6,67.1,2460248026.0,2834168889.0,3802566171.0,5139957785.0,4690062255.0,484.7454606,553.0755804,733.4653781,978.1138166,879.1600693,728431710.0,733850851.0,740369794.0,747916777.0,754653386.0,4.69776153564453,4.73658800125122,5.06905364990234,4.99641084671021
313,Kyrgyzstan,2010,5124379.0,5184384.0,5254969.0,5334708.0,5422298.0,67.2,66.7,66.6,67.1,66.9,2834168889.0,3802566171.0,5139957785.0,4690062255.0,4794357795.0,553.0755804,733.4653781,978.1138166,879.1600693,884.1929741,733850851.0,740369794.0,747916777.0,754653386.0,760967348.0,4.73658800125122,5.06905364990234,4.99641084671021,4.92104911804199
314,Kyrgyzstan,2011,5184384.0,5254969.0,5334708.0,5422298.0,5517927.0,66.7,66.6,67.1,66.9,66.7,3802566171.0,5139957785.0,4690062255.0,4794357795.0,6197766119.0,733.4653781,978.1138166,879.1600693,884.1929741,1123.20553,740369794.0,747916777.0,754653386.0,760967348.0,768520852.0,5.06905364990234,4.99641084671021,4.92104911804199,5.20778560638428
315,Kyrgyzstan,2012,5254969.0,5334708.0,5422298.0,5517927.0,5621583.0,66.6,67.1,66.9,66.7,67.2,5139957785.0,4690062255.0,4794357795.0,6197766119.0,6605139933.0,978.1138166,879.1600693,884.1929741,1123.20553,1174.960849,747916777.0,754653386.0,760967348.0,768520852.0,778519250.0,4.99641084671021,4.92104911804199,5.20778560638428,5.40242671966553
316,Kyrgyzstan,2013,5334708.0,5422298.0,5517927.0,5621583.0,5731312.0,67.1,66.9,66.7,67.2,67.6,4690062255.0,4794357795.0,6197766119.0,6605139933.0,7335027592.0,879.1600693,884.1929741,1123.20553,1174.960849,1279.816487,754653386.0,760967348.0,768520852.0,778519250.0,788177555.0,4.92104911804199,5.20778560638428,5.40242671966553,5.25219297409058
317,Kyrgyzstan,2014,5422298.0,5517927.0,5621583.0,5731312.0,5844521.0,66.9,66.7,67.2,67.6,68.5,4794357795.0,6197766119.0,6605139933.0,7335027592.0,7468096567.0,884.1929741,1123.20553,1174.960849,1279.816487,1277.794462,760967348.0,768520852.0,778519250.0,788177555.0,798272973.0,5.20778560638428,5.40242671966553,5.25219297409058,4.90537595748901
318,Kyrgyzstan,2015,5517927.0,5621583.0,5731312.0,5844521.0,5959126.0,66.7,67.2,67.6,68.5,68.8,6197766119.0,6605139933.0,7335027592.0,7468096567.0,6678178340.0,1123.20553,1174.960849,1279.816487,1277.794462,1120.664061,768520852.0,778519250.0,788177555.0,798272973.0,808551854.0,5.40242671966553,5.25219297409058,4.90537595748901,4.85653400421143
324,Lithuania,2009,3344259.0,3303329.0,3258984.0,3212867.0,3167270.0,71.6,71.2,71.4,71.6,71.6,26097677572.0,30183575104.0,39697891352.0,47797551588.0,37388122046.0,7854.765279,9230.707981,12285.44705,14944.99665,11820.77616,1348638373.0,1363072452.0,1378896505.0,1394099006.0,1407141304.0,5.80828475952148,5.55392599105835,5.46692085266113,5.06582498550415
325,Lithuania,2010,3303329.0,3258984.0,3212867.0,3167270.0,3123825.0,71.2,71.4,71.6,71.6,78.0,30183575104.0,39697891352.0,47797551588.0,37388122046.0,37128694028.0,9230.707981,12285.44705,14944.99665,11820.77616,11987.50841,1363072452.0,1378896505.0,1394099006.0,1407141304.0,1421086393.0,5.55392599105835,5.46692085266113,5.06582498550415,5.43243741989136
326,Lithuania,2011,3258984.0,3212867.0,3167270.0,3123825.0,3083402.0,71.4,71.6,71.6,78.0,76.0,39697891352.0,47797551588.0,37388122046.0,37128694028.0,43535051482.0,12285.44705,14944.99665,11820.77616,11987.50841,14376.94786,1378896505.0,1394099006.0,1407141304.0,1421086393.0,1435379198.0,5.46692085266113,5.06582498550415,5.43243741989136,5.77103710174561
327,Lithuania,2012,3212867.0,3167270.0,3123825.0,3083402.0,3045561.0,71.6,71.6,78.0,76.0,72.0,47797551588.0,37388122046.0,37128694028.0,43535051482.0,42927454291.0,14944.99665,11820.77616,11987.50841,14376.94786,14367.70942,1394099006.0,1407141304.0,1421086393.0,1435379198.0,1449724496.0,5.06582498550415,5.43243741989136,5.77103710174561,5.59568929672241
328,Lithuania,2013,3167270.0,3123825.0,3083402.0,3045561.0,3008938.0,71.6,78.0,76.0,72.0,71.1,37388122046.0,37128694028.0,43535051482.0,42927454291.0,46523420074.0,11820.77616,11987.50841,14376.94786,14367.70942,15729.65247,1407141304.0,1421086393.0,1435379198.0,1449724496.0,1463079340.0,5.43243741989136,5.77103710174561,5.59568929672241,6.12572383880615
329,Lithuania,2014,3123825.0,3083402.0,3045561.0,3008938.0,2971498.0,78.0,76.0,72.0,71.1,72.2,37128694028.0,43535051482.0,42927454291.0,46523420074.0,48533659592.0,11987.50841,14376.94786,14367.70942,15729.65247,16551.0182,1421086393.0,1435379198.0,1449724496.0,1463079340.0,1476186031.0,5.77103710174561,5.59568929672241,6.12572383880615,5.71137809753418
330,Lithuania,2015,3083402.0,3045561.0,3008938.0,2971498.0,2931872.0,76.0,72.0,71.1,72.2,72.4,43535051482.0,42927454291.0,46523420074.0,48533659592.0,41435533340.0,14376.94786,14367.70942,15729.65247,16551.0182,14263.96458,1435379198.0,1449724496.0,1463079340.0,1476186031.0,1489505521.0,5.59568929672241,6.12572383880615,5.71137809753418,5.86555242538452
336,Mexico,2009,106005199.0,107560155.0,109170503.0,110815272.0,112463886.0,74.8,75.0,75.0,75.0,75.4,877476000000.0,975387000000.0,1052700000000.0,1109990000000.0,900045000000.0,8277.671564,9068.294218,9642.680517,10016.57121,8002.972178,13061855319.0,13538420535.0,14018207347.0,14511187017.0,14987090071.0,6.52537822723389,6.82903623580933,6.96281909942627,6.8023886680603
337,Mexico,2010,107560155.0,109170503.0,110815272.0,112463886.0,114092961.0,75.0,75.0,75.0,75.4,75.3,975387000000.0,1052700000000.0,1109990000000.0,900045000000.0,1057800000000.0,9068.294218,9642.680517,10016.57121,8002.972178,9271.398396,13538420535.0,14018207347.0,14511187017.0,14987090071.0,15450872585.0,6.82903623580933,6.96281909942627,6.8023886680603,6.90951538085938
338,Mexico,2011,109170503.0,110815272.0,112463886.0,114092961.0,115695468.0,75.0,75.0,75.4,75.3,75.8,1052700000000.0,1109990000000.0,900045000000.0,1057800000000.0,1180490000000.0,9642.680517,10016.57121,8002.972178,9271.398396,10203.4213,14018207347.0,14511187017.0,14987090071.0,15450872585.0,15935037426.0,6.96281909942627,6.8023886680603,6.90951538085938,7.32018518447876
339,Mexico,2012,110815272.0,112463886.0,114092961.0,115695468.0,117274156.0,75.0,75.4,75.3,75.8,76.0,1109990000000.0,900045000000.0,1057800000000.0,1180490000000.0,1201090000000.0,10016.57121,8002.972178,9271.398396,10203.4213,10241.72783,14511187017.0,14987090071.0,15450872585.0,15935037426.0,16431337006.0,6.8023886680603,6.90951538085938,7.32018518447876,7.44254636764526
340,Mexico,2013,112463886.0,114092961.0,115695468.0,117274156.0,118827158.0,75.4,75.3,75.8,76.0,75.6,900045000000.0,1057800000000.0,1180490000000.0,1201090000000.0,1274440000000.0,8002.972178,9271.398396,10203.4213,10241.72783,10725.18359,14987090071.0,15450872585.0,15935037426.0,16431337006.0,16921466676.0,6.90951538085938,7.32018518447876,7.44254636764526,6.67983102798462
341,Mexico,2014,114092961.0,115695468.0,117274156.0,118827158.0,120355137.0,75.3,75.8,76.0,75.6,75.7,1057800000000.0,1180490000000.0,1201090000000.0,1274440000000.0,1315350000000.0,9271.398396,10203.4213,10241.72783,10725.18359,10928.91601,15450872585.0,15935037426.0,16431337006.0,16921466676.0,17402595462.0,7.32018518447876,7.44254636764526,6.67983102798462,6.23628711700439
342,Mexico,2015,115695468.0,117274156.0,118827158.0,120355137.0,121858251.0,75.8,76.0,75.6,75.7,75.6,1180490000000.0,1201090000000.0,1274440000000.0,1315350000000.0,1171870000000.0,10203.4213,10241.72783,10725.18359,10928.91601,9616.645558,15935037426.0,16431337006.0,16921466676.0,17402595462.0,17884570053.0,7.44254636764526,6.67983102798462,6.23628711700439,6.82417297363281
348,Moldova,2009,4159296.0,4146264.0,4130129.0,4112886.0,4097515.0,67.82,68.022,68.302,68.671,69.119,2988348836.0,3408244549.0,4401189466.0,6054849885.0,5439422031.0,1034.707058,1183.379211,1531.685476,2111.201495,1899.010117,1304639013.0,1309668760.0,1314647314.0,1319837694.0,1324377206.0,4.77491807937622,5.50275611877441,5.55437421798706,5.5897364616394
349,Moldova,2010,4146264.0,4130129.0,4112886.0,4097515.0,4086090.0,68.022,68.302,68.671,69.119,69.616,3408244549.0,4401189466.0,6054849885.0,5439422031.0,6974982393.0,1183.379211,1531.685476,2111.201495,1899.010117,2437.537683,1309668760.0,1314647314.0,1319837694.0,1324377206.0,1329208111.0,5.50275611877441,5.55437421798706,5.5897364616394,5.7922625541687
350,Moldova,2011,4130129.0,4112886.0,4097515.0,4086090.0,4079167.0,68.302,68.671,69.119,69.616,70.119,4401189466.0,6054849885.0,5439422031.0,6974982393.0,8414351672.0,1531.685476,2111.201495,1899.010117,2437.537683,2942.252807,1314647314.0,1319837694.0,1324377206.0,1329208111.0,1334153085.0,5.55437421798706,5.5897364616394,5.7922625541687,5.9957127571106
351,Moldova,2012,4112886.0,4097515.0,4086090.0,4079167.0,4075804.0,68.671,69.119,69.616,70.119,70.581,6054849885.0,5439422031.0,6974982393.0,8414351672.0,8709138765.0,2111.201495,1899.010117,2437.537683,2942.252807,3045.730612,1319837694.0,1324377206.0,1329208111.0,1334153085.0,1338918767.0,5.5897364616394,5.7922625541687,5.9957127571106,5.75605916976929
352,Moldova,2013,4097515.0,4086090.0,4079167.0,4075804.0,4074585.0,69.119,69.616,70.119,70.581,70.968,5439422031.0,6974982393.0,8414351672.0,8709138765.0,9496717702.0,1899.010117,2437.537683,2942.252807,3045.730612,3322.04998,1324377206.0,1329208111.0,1334153085.0,1338918767.0,1343818125.0,5.7922625541687,5.9957127571106,5.75605916976929,5.91705846786499
